Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Rutgers Prep,18,10,28,0.6429,2049,1888,5.75,somerset-rutgers-prep,Skyland,0.6287,0.5804,0.6126
Midland Park,18,10,28,0.6429,1636,1476,5.714,midland-park-midland-park,NJIC,0.4805,0.4764,0.4791
Monmouth,15,9,24,0.625,1314,1177,5.708,tinton-falls-monmouth,Shore,0.4758,0.4822,0.4779
Morristown-Beard,15,10,25,0.6,1534,1392,5.68,morristown-morristown-beard,NJAC,0.5745,0.5524,0.5671
Waldwick,21,10,31,0.6774,1811,1635,5.677,waldwick-waldwick,NJIC,0.5311,0.4904,0.5175
Park Ridge,18,9,27,0.6667,1461,1308,5.667,park-ridge-park-ridge,NJIC,0.4536,0.5039,0.4704
Northern Highlands,21,8,29,0.7241,1655,1493,5.586,allendale-northern-highlands,Big North,0.5883,0.5634,0.58
Weequahic,18,11,29,0.6207,1686,1526,5.517,newark-weequahic,SEC,0.4745,0.499,0.4826
Palmyra,21,8,29,0.7241,1671,1512,5.483,palmyra-palmyra,BCSL,0.4734,0.4736,0.4735
Williamstown,16,11,27,0.5926,1578,1430,5.481,williamstown-williamstown,Tri-County,0.5084,0.5025,0.5064
Union City,19,10,29,0.6552,1697,1539,5.448,union-city-union-city,HCIAL,0.5461,0.5314,0.5412
Summit,14,11,25,0.56,1289,1154,5.4,summit-summit,UCC,0.4908,0.5246,0.5021
