Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Dover,4,21,25,0.16,1122,1471,-13.96,dover-dover,NJAC,0.4432,0.4567,0.4477
Mountain Lakes,7,18,25,0.28,1062,1421,-14.36,mountain-lakes-mountain-lakes,NJAC,0.533,0.4834,0.5165
West Windsor-Plainsboro South,4,21,25,0.16,1139,1499,-14.4,princeton-jct-west-windsor-plainsboro-south,CVC,0.4397,0.484,0.4544
Absegami,5,20,25,0.2,1202,1564,-14.48,galloway-absegami,Cape-Atlantic,0.5054,0.4831,0.498
Manchester Township,5,19,24,0.2083,1087,1475,-16.167,manchester-manchester-township,Shore,0.4141,0.4706,0.4329
St. Joseph (Mont.),5,19,24,0.2083,1154,1549,-16.458,montvale-st-joseph-mont,Big North,0.6128,0.5653,0.597
Saddle River Day,1,22,23,0.0435,872,1267,-17.174,saddle-river-saddle-river-day,NJIC,0.5436,0.488,0.5251
Butler,2,22,24,0.0833,974,1388,-17.25,butler-butler,NJIC,0.466,0.4355,0.4558
Sussex Tech,3,19,22,0.1364,915,1295,-17.273,sparta-sussex-tech,NJAC,0.3796,0.4233,0.3942
Cinnaminson,8,18,26,0.3077,1113,1576,-17.808,cinnaminson-cinnaminson,BCSL,0.4734,0.5033,0.4833
Hawthorne Christian,0,22,22,0.0,1028,1426,-18.091,hawthorne-hawthorne-christian,NJIC,0.4961,0.4513,0.4812
Atlantic Tech,1,24,25,0.04,972,1442,-18.8,mays-landing-atlantic-tech,Cape-Atlantic,0.4844,0.4885,0.4858
College Achieve Central,3,21,24,0.125,989,1454,-19.375,plainfield-college-achieve-central-charter,Skyland,0.5055,0.4702,0.4937
Belleville,1,23,24,0.0417,999,1472,-19.708,belleville-belleville,SEC,0.4957,0.4868,0.4927
Bergenfield,4,22,26,0.1538,1204,1720,-19.846,bergenfield-bergenfield,Big North,0.5186,0.498,0.5117
Lacey,4,18,22,0.1818,928,1365,-19.864,lanoka-harbor-lacey,Shore,0.4848,0.4627,0.4775
Asbury Park,0,14,14,0.0,581,865,-20.286,asbury-park-asbury-park,Shore,0.4172,0.4509,0.4284
Collingswood,1,26,27,0.037,1004,1557,-20.481,collingswood-collingswood,Colonial,0.4576,0.4536,0.4562
Newark Central,4,22,26,0.1538,1136,1669,-20.5,newark-newark-central,SEC,0.5103,0.5061,0.5089
Eagle Academy,2,18,20,0.1,649,1093,-22.2,newark-eagle-academy,SEC,0.4498,0.429,0.4428
Lakewood,2,20,22,0.0909,795,1292,-22.591,lakewood-lakewood,Shore,0.4347,0.4536,0.441
Maple Shade,3,23,26,0.1154,938,1545,-23.346,maple-shade-maple-shade,BCSL,0.4061,0.4503,0.4209
Pemberton,2,25,27,0.0741,1054,1699,-23.889,pemberton-pemberton,BCSL,0.4934,0.4953,0.494
Salem Tech,2,19,21,0.0952,741,1249,-24.19,woodstown-salem-tech,Tri-County,0.3831,0.4288,0.3983
Cape May Tech,2,20,22,0.0909,755,1339,-26.545,cape-may-ct-hse-cape-may-tech,Cape-Atlantic,0.4491,0.4422,0.4468
Ridgefield,1,23,24,0.0417,799,1488,-28.708,ridgefield-ridgefield,NJIC,0.5171,0.479,0.5044
University Charter,2,16,18,0.1111,588,1120,-29.556,jersey-city-university-charter,HCIAL,0.4036,0.4465,0.4179
Pennsville,3,20,23,0.1304,723,1472,-32.565,pennsville-pennsville,Tri-County,0.3959,0.4427,0.4115
Buena,2,21,23,0.087,724,1519,-34.565,buena-buena,Cape-Atlantic,0.4324,0.4428,0.4358
