Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Union City,6,4,10,0.6,272,174,9.8,union-city-union-city,SFC,0.4094,0.5104,0.4431
Voorhees,8,2,10,0.8,264,168,9.6,glen-gardner-voorhees,Big Central,0.4235,0.5183,0.4551
Livingston,7,4,11,0.6364,294,190,9.455,livingston-livingston,SFC,0.4435,0.4688,0.4519
Chatham,6,3,9,0.6667,248,163,9.444,chatham-chatham,SFC,0.5072,0.4934,0.5026
Warren Hills,5,5,10,0.5,299,206,9.3,washington-warren-hills,SFC,0.4873,0.4852,0.4866
Sparta,6,4,10,0.6,330,239,9.1,sparta-sparta,SFC,0.5108,0.5105,0.5107
Triton,7,3,10,0.7,238,147,9.1,runnemede-triton,WJFL,0.4254,0.5062,0.4524
Iselin Kennedy,6,4,10,0.6,298,210,8.8,iselin-iselin-kennedy,Big Central,0.3411,0.471,0.3844
Weequahic,6,4,10,0.6,233,145,8.8,newark-weequahic,SFC,0.5837,0.5197,0.5624
St. Augustine,6,4,10,0.6,228,141,8.7,richland-st-augustine,WJFL,0.5123,0.5628,0.5291
Manasquan,8,3,11,0.7273,258,164,8.545,manasquan-manasquan,Shore,0.5164,0.5204,0.5177
Johnson,7,2,9,0.7778,209,134,8.333,clark-johnson,Big Central,0.4835,0.5065,0.4912
West Essex,6,4,10,0.6,310,227,8.3,north-caldwell-west-essex,SFC,0.6023,0.5503,0.585
Eastern,6,4,10,0.6,242,161,8.1,voorhees-eastern,WJFL,0.5327,0.4701,0.5118
Wall,9,3,12,0.75,269,174,7.917,wall-wall,Shore,0.5566,0.5324,0.5485
Mahwah,4,5,9,0.4444,261,190,7.889,mahwah-mahwah,SFC,0.5101,0.4775,0.4992
DePaul,8,4,12,0.6667,321,227,7.833,wayne-depaul,SFC,0.5187,0.5549,0.5307
Woodbridge,8,3,11,0.7273,253,167,7.818,woodbridge-woodbridge,Big Central,0.4826,0.4966,0.4873
Lower Cape May,8,3,11,0.7273,270,184,7.818,erma-lower-cape-may,WJFL,0.4826,0.5048,0.49
Salem,6,5,11,0.5455,237,152,7.727,salem-salem,WJFL,0.4638,0.5147,0.4807
Princeton,7,2,9,0.7778,165,96,7.667,princeton-princeton,WJFL,0.3616,0.4994,0.4075
Metuchen,5,5,10,0.5,214,138,7.6,metuchen-metuchen,Big Central,0.4235,0.5184,0.4552
Holy Spirit,7,5,12,0.5833,364,273,7.583,absecon-holy-spirit,WJFL,0.5662,0.5458,0.5594
Teaneck,5,5,10,0.5,292,218,7.4,teaneck-teaneck,SFC,0.3708,0.4868,0.4095
Lawrence,5,5,10,0.5,248,174,7.4,lawrenceville-lawrence,WJFL,0.4468,0.4884,0.4607
St. Joseph (Hamm.),7,2,9,0.7778,201,135,7.333,hammonton-st-joseph-hamm,WJFL,0.3717,0.5103,0.4179
Bogota,6,4,10,0.6,277,204,7.3,bogota-bogota,NJIC,0.4117,0.4769,0.4334
Garfield,5,5,10,0.5,216,145,7.1,garfield-garfield,NJIC,0.3972,0.4724,0.4222
Rumson-Fair Haven,6,4,10,0.6,259,188,7.1,rumson-rumson-fair-haven,Shore,0.5693,0.5545,0.5644
Rutherford,8,2,10,0.8,239,169,7.0,rutherford-rutherford,NJIC,0.5727,0.4825,0.5426
Point Pleasant Beach,7,3,10,0.7,319,249,7.0,pt-pleasant-bch-point-pleasant-beach,Shore,0.4178,0.4739,0.4365
Overbrook,6,4,10,0.6,258,188,7.0,pine-hill-overbrook,WJFL,0.5063,0.5168,0.5098
Ridge,5,4,9,0.5556,209,147,6.889,basking-ridge-ridge,Big Central,0.4906,0.5197,0.5003
Madison,7,4,11,0.6364,328,253,6.818,madison-madison,SFC,0.6078,0.5251,0.5802
Wallkill Valley,7,3,10,0.7,158,90,6.8,hamburg-wallkill-valley,SFC,0.4554,0.4967,0.4692
Red Bank Regional,5,4,9,0.5556,170,109,6.778,little-silver-red-bank-regional,Shore,0.5146,0.4891,0.5061
Pennsauken,7,3,10,0.7,242,175,6.7,pennsauken-pennsauken,WJFL,0.4158,0.5116,0.4478
Shawnee,7,4,11,0.6364,271,201,6.364,medford-shawnee,WJFL,0.426,0.57,0.474
Glen Ridge,5,4,9,0.5556,234,178,6.222,glen-ridge-glen-ridge,SFC,0.4988,0.498,0.4985
Montville,5,4,9,0.5556,231,176,6.111,montville-montville,SFC,0.5494,0.4742,0.5243
KIPP Cooper Norcross Academy,6,3,9,0.6667,270,215,6.111,camden-kipp-cooper-norcross-academy,WJFL,0.4727,0.4767,0.474
Delaware Valley,6,4,10,0.6,237,176,6.1,alexandria-delaware-valley,Big Central,0.4991,0.4819,0.4934
South Plainfield,6,4,10,0.6,212,151,6.1,so-plainfield-south-plainfield,Big Central,0.4633,0.4816,0.4694
Millville,7,5,12,0.5833,338,266,6.0,millville-millville,WJFL,0.5869,0.5069,0.5602
Bridgewater-Raritan,9,4,13,0.6923,330,254,5.846,bridgewater-bridgewater-raritan,Big Central,0.5262,0.4965,0.5163
Franklin,5,4,9,0.5556,302,250,5.778,somerset-franklin,Big Central,0.3143,0.4835,0.3707
Matawan,6,5,11,0.5455,262,199,5.727,aberdeen-matawan,Shore,0.5025,0.4997,0.5016
Montgomery,8,4,12,0.6667,321,255,5.5,skillman-montgomery,Big Central,0.5705,0.4969,0.546
Rancocas Valley,6,5,11,0.5455,239,181,5.273,mount-holly-rancocas-valley,WJFL,0.5413,0.5584,0.547
Waldwick,6,4,10,0.6,261,209,5.2,waldwick-waldwick,NJIC,0.4623,0.4738,0.4661
Pleasantville,7,4,11,0.6364,219,162,5.182,pleasantville-pleasantville,WJFL,0.5305,0.5286,0.5298
Kittatinny,8,3,11,0.7273,261,205,5.091,newton-kittatinny,SFC,0.4111,0.4862,0.4361
Belvidere,5,5,10,0.5,221,171,5.0,belvidere-belvidere,Big Central,0.3717,0.4527,0.3987
Donovan Catholic,8,4,12,0.6667,257,197,5.0,toms-river-donovan-catholic,Shore,0.5559,0.5335,0.5484
Northern Burlington,7,4,11,0.6364,251,200,4.636,columbus-northern-burlington,WJFL,0.4371,0.5232,0.4658
Glen Rock,7,3,10,0.7,180,134,4.6,glen-rock-glen-rock,NJIC,0.5119,0.4937,0.5059
Willingboro,4,6,10,0.4,256,214,4.2,willingboro-willingboro,WJFL,0.5112,0.5503,0.5243
Ramsey,8,3,11,0.7273,312,268,4.0,ramsey-ramsey,SFC,0.5495,0.4929,0.5307
Colonia,7,4,11,0.6364,284,241,3.909,colonia-colonia,Big Central,0.4741,0.5167,0.4883
Pinelands,6,4,10,0.6,166,127,3.9,tuckerton-pinelands,Shore,0.3972,0.4644,0.4196
St. Thomas Aquinas,5,6,11,0.4545,332,290,3.818,edison-st-thomas-aquinas-formerly-bishop-ahr,Big Central,0.4451,0.4875,0.4593
Wayne Valley,7,4,11,0.6364,292,251,3.727,wayne-wayne-valley,SFC,0.5938,0.5515,0.5797
Freehold Township,5,5,10,0.5,299,263,3.6,freehold-freehold-township,Shore,0.5115,0.4726,0.4985
Summit,9,3,12,0.75,273,234,3.25,summit-summit,Big Central,0.5598,0.5161,0.5452
Gloucester,5,5,10,0.5,251,219,3.2,gloucester-city-gloucester,WJFL,0.5272,0.5155,0.5233
St. John Vianney,5,6,11,0.4545,268,233,3.182,holmdel-st-john-vianney,Shore,0.4767,0.5184,0.4906
Plainfield,4,6,10,0.4,263,233,3.0,plainfield-plainfield,Big Central,0.4829,0.4574,0.4744
Paul VI,6,5,11,0.5455,230,197,3.0,haddonfield-paul-vi,WJFL,0.5477,0.5194,0.5383
Pennsville,5,5,10,0.5,257,227,3.0,pennsville-pennsville,WJFL,0.4735,0.5182,0.4884
Clayton,5,5,10,0.5,208,178,3.0,clayton-clayton,WJFL,0.4543,0.4238,0.4441
Dumont,8,3,11,0.7273,248,217,2.818,dumont-dumont,SFC,0.4423,0.5103,0.465
Steinert,8,3,11,0.7273,232,201,2.818,hamilton-steinert,WJFL,0.4383,0.5029,0.4599
Hackettstown,4,6,10,0.4,252,224,2.8,hackettstown-hackettstown,SFC,0.4305,0.4672,0.4427
Carteret,4,5,9,0.4444,205,180,2.778,carteret-carteret,Big Central,0.4117,0.4913,0.4383
Vernon,5,4,9,0.5556,245,221,2.667,vernon-vernon,SFC,0.4798,0.4873,0.4823
Trenton,6,4,10,0.6,220,195,2.5,trenton-trenton,WJFL,0.4832,0.4753,0.4806
Caldwell,5,5,10,0.5,230,206,2.4,west-caldwell-caldwell,SFC,0.655,0.5515,0.6205
Indian Hills,5,5,10,0.5,158,137,2.1,oakland-indian-hills,SFC,0.537,0.47,0.5147
Monmouth,5,5,10,0.5,214,195,1.9,tinton-falls-monmouth,Shore,0.4505,0.4517,0.4509
Becton,7,4,11,0.6364,218,199,1.727,east-rutherford-becton,NJIC,0.5653,0.4677,0.5328
Asbury Park,5,4,9,0.5556,246,231,1.667,asbury-park-asbury-park,Shore,0.4783,0.4426,0.4664
Passaic Valley,6,4,10,0.6,251,235,1.6,little-falls-passaic-valley,SFC,0.5499,0.547,0.5489
Barnegat,5,5,10,0.5,185,169,1.6,barnegat-barnegat,Shore,0.3918,0.4666,0.4167
Cumberland,6,4,10,0.6,175,160,1.5,seabrook-cumberland,WJFL,0.4381,0.5052,0.4605
Fair Lawn,5,4,9,0.5556,289,276,1.444,fair-lawn-fair-lawn,SFC,0.454,0.5011,0.4697
Ocean Township,5,5,10,0.5,216,204,1.2,oakhurst-ocean-township,Shore,0.4497,0.4782,0.4592
Morris Catholic,3,6,9,0.3333,174,165,1.0,denville-morris-catholic,SFC,0.4032,0.4989,0.4351
Memorial,4,4,8,0.5,170,162,1.0,west-new-york-memorial,SFC,0.4271,0.479,0.4444
Paramus Catholic,6,7,13,0.4615,373,360,1.0,paramus-paramus-catholic,SFC,0.6438,0.5184,0.602
Manchester Regional,3,5,8,0.375,185,178,0.875,haledon-manchester-regional,NJIC,0.3722,0.4734,0.406
Park Ridge,4,5,9,0.4444,187,184,0.333,park-ridge-park-ridge,NJIC,0.5444,0.4636,0.5174
Newark Central,6,5,11,0.5455,245,243,0.182,newark-newark-central,SFC,0.4748,0.5067,0.4854
Audubon,4,6,10,0.4,229,228,0.1,audubon-audubon,WJFL,0.5614,0.4608,0.5279
Irvington,3,7,10,0.3,227,227,0.0,irvington-irvington,SFC,0.5385,0.4765,0.5178
Hamilton West,5,5,10,0.5,187,189,-0.2,hamilton-hamilton-west,WJFL,0.4241,0.4795,0.4426
Cranford,4,6,10,0.4,233,238,-0.5,cranford-cranford,Big Central,0.5923,0.475,0.5532
Toms River North,5,6,11,0.4545,203,209,-0.545,toms-river-toms-river-north,Shore,0.6344,0.496,0.5882
Pascack Valley,4,5,9,0.4444,200,208,-0.889,hillsdale-pascack-valley,SFC,0.5814,0.5221,0.5617
