Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Lenape Valley,2,8,10,0.2,130,211,-8.1,stanhope-lenape-valley,SFC,0.5775,0.4711,0.542
Hightstown,4,6,10,0.4,182,263,-8.1,hightstown-hightstown,WJFL,0.427,0.5056,0.4532
Highland Park,3,6,9,0.3333,186,261,-8.333,highland-park-highland-park,Big Central,0.5022,0.4266,0.477
Bound Brook,5,5,10,0.5,215,299,-8.4,bound-brook-bound-brook,Big Central,0.4389,0.4726,0.4501
Highland,4,6,10,0.4,125,210,-8.5,blackwood-highland,WJFL,0.4963,0.4901,0.4943
Ridgewood,3,6,9,0.3333,143,220,-8.556,ridgewood-ridgewood,SFC,0.5443,0.5255,0.538
Hillsborough,4,6,10,0.4,185,272,-8.7,hillsborough-hillsborough,Big Central,0.6225,0.5051,0.5834
Wildwood,4,6,10,0.4,137,225,-8.8,wildwood-wildwood,WJFL,0.4038,0.4433,0.417
North Plainfield,3,6,9,0.3333,137,218,-9.0,no-plainfield-north-plainfield,Big Central,0.5235,0.4434,0.4968
Cinnaminson,4,6,10,0.4,103,193,-9.0,cinnaminson-cinnaminson,WJFL,0.5767,0.4999,0.5511
Millburn,4,6,10,0.4,208,301,-9.3,millburn-millburn,SFC,0.4378,0.5106,0.4621
Oakcrest,2,7,9,0.2222,165,249,-9.333,mays-landing-oakcrest,WJFL,0.5647,0.4884,0.5392
Bergenfield,4,6,10,0.4,161,256,-9.5,bergenfield-bergenfield,SFC,0.4813,0.4974,0.4867
Delsea,4,6,10,0.4,125,221,-9.6,franklinville-delsea,WJFL,0.5156,0.5364,0.5225
Williamstown,3,7,10,0.3,150,248,-9.8,williamstown-williamstown,WJFL,0.6021,0.5154,0.5732
Edison,2,8,10,0.2,158,262,-10.4,edison-edison,Big Central,0.4998,0.4372,0.4789
North Hunterdon,1,8,9,0.1111,127,226,-11.0,annandale-north-hunterdon,Big Central,0.5176,0.4536,0.4963
Hudson Catholic,3,7,10,0.3,177,287,-11.0,jersey-city-hudson-catholic,Independent,0.5567,0.4368,0.5167
Morris Hills,2,8,10,0.2,131,241,-11.0,rockaway-morris-hills,SFC,0.3659,0.4854,0.4057
Parsippany Hills,2,8,10,0.2,124,235,-11.1,morris-plains-parsippany-hills,SFC,0.5174,0.4718,0.5022
Morristown,2,8,10,0.2,131,243,-11.2,morristown-morristown,SFC,0.5779,0.5116,0.5558
Pope John,2,8,10,0.2,128,241,-11.3,sparta-pope-john,SFC,0.5372,0.5372,0.5372
Nutley,4,6,10,0.4,172,286,-11.4,nutley-nutley,SFC,0.6049,0.4982,0.5693
Colts Neck,2,7,9,0.2222,143,246,-11.444,colts-neck-colts-neck,Shore,0.4395,0.4991,0.4594
Watchung Hills,3,7,10,0.3,157,272,-11.5,warren-watchung-hills,Big Central,0.4505,0.4716,0.4575
Howell,3,7,10,0.3,95,210,-11.5,farmingdale-howell,Shore,0.5597,0.5187,0.5461
Haddon Heights,2,9,11,0.1818,156,283,-11.545,haddon-heights-haddon-heights,WJFL,0.5239,0.5014,0.5164
Weehawken,3,5,8,0.375,196,292,-12.0,weehawken-weehawken,NJIC,0.3885,0.4518,0.4096
Verona,2,7,9,0.2222,119,227,-12.0,verona-verona,SFC,0.6448,0.5105,0.6001
Keansburg,3,6,9,0.3333,196,306,-12.222,keansburg-keansburg,Shore,0.4242,0.4551,0.4345
Hopatcong,4,6,10,0.4,143,267,-12.4,hopatcong-hopatcong,SFC,0.4287,0.4519,0.4364
Montclair Kimberley,2,7,9,0.2222,77,191,-12.667,montclair-montclair-kimberley,Independent,0.463,0.3259,0.4173
Vineland,2,8,10,0.2,156,283,-12.7,vineland-vineland,WJFL,0.4498,0.51,0.4698
Nottingham,1,9,10,0.1,126,254,-12.8,hamilton-nottingham,WJFL,0.5614,0.4578,0.5269
Kearny,2,6,8,0.25,160,263,-12.875,kearny-kearny,SFC,0.5521,0.4458,0.5167
East Brunswick,3,7,10,0.3,149,279,-13.0,east-brunswick-east-brunswick,Big Central,0.4383,0.441,0.4392
Lakewood,3,7,10,0.3,222,352,-13.0,lakewood-lakewood,Shore,0.3778,0.4434,0.3997
Mastery Camden,1,7,8,0.125,128,233,-13.125,camden-mastery-charter,WJFL,0.4813,0.3836,0.4487
Roselle,2,9,11,0.1818,173,318,-13.182,roselle-roselle,Big Central,0.5041,0.466,0.4914
Camden Catholic,2,9,11,0.1818,188,333,-13.182,cherry-hill-camden-catholic,WJFL,0.5318,0.4898,0.5178
Cherokee,3,7,10,0.3,187,323,-13.6,marlton-cherokee,WJFL,0.5397,0.5393,0.5396
Scotch Plains-Fanwood,2,7,9,0.2222,138,262,-13.778,scotch-plains-scotch-plains-fanwood,Big Central,0.4364,0.4716,0.4481
Randolph,2,7,9,0.2222,115,239,-13.778,randolph-randolph,SFC,0.4844,0.496,0.4883
South Hunterdon,1,7,8,0.125,66,182,-14.5,lambertville-south-hunterdon,Big Central,0.5234,0.418,0.4883
Barringer,2,7,9,0.2222,91,223,-14.667,newark-barringer,SFC,0.4252,0.4518,0.4341
Timber Creek,2,8,10,0.2,126,274,-14.8,erial-timber-creek,WJFL,0.6402,0.5328,0.6044
Woodbury,3,7,10,0.3,138,288,-15.0,woodbury-woodbury,WJFL,0.545,0.478,0.5226
Monroe,1,8,9,0.1111,143,281,-15.333,monroe-twp-monroe,Big Central,0.4413,0.4277,0.4368
Toms River South,3,7,10,0.3,101,258,-15.7,toms-river-toms-river-south,Shore,0.5018,0.5076,0.5037
Moorestown,2,8,10,0.2,148,305,-15.7,moorestown-moorestown,WJFL,0.5138,0.495,0.5075
Bergen Tech,2,7,9,0.2222,108,254,-16.222,hackensack-bergen-tech,SFC,0.442,0.4857,0.4566
Palisades Park,3,7,10,0.3,151,314,-16.3,palisades-park-palisades-park,NJIC,0.3936,0.4618,0.4163
Camden Eastside,3,7,10,0.3,102,269,-16.7,camden-woodrow-wilson,WJFL,0.6384,0.5168,0.5978
North Warren,1,9,10,0.1,156,325,-16.9,blairstown-north-warren,SFC,0.5172,0.4478,0.4941
Keyport,1,9,10,0.1,196,367,-17.1,keyport-keyport,Shore,0.522,0.4054,0.4831
Jefferson,2,8,10,0.2,221,394,-17.3,oak-ridge-jefferson,SFC,0.5407,0.4771,0.5195
West Side,1,8,9,0.1111,65,221,-17.333,newark-west-side,SFC,0.4832,0.4311,0.4658
Seton Hall Prep,3,7,10,0.3,129,304,-17.5,west-orange-seton-hall-prep,SFC,0.5236,0.5424,0.5298
Hammonton,1,9,10,0.1,81,262,-18.1,hammonton-hammonton,WJFL,0.6468,0.4842,0.5926
Marlboro,2,8,10,0.2,120,305,-18.5,marlboro-marlboro,Shore,0.5447,0.5348,0.5414
Cliffside Park,1,8,9,0.1111,82,249,-18.556,cliffside-park-cliffside-park,SFC,0.4589,0.4591,0.459
Freehold Borough,2,8,10,0.2,161,347,-18.6,freehold-freehold-borough,Shore,0.3729,0.4589,0.4016
Allentown,1,9,10,0.1,107,295,-18.8,allentown-allentown,WJFL,0.5505,0.464,0.5217
Woodstown,3,7,10,0.3,110,299,-18.9,woodstown-woodstown,WJFL,0.438,0.4922,0.4561
Lindenwold,1,8,9,0.1111,112,288,-19.556,lindenwold-lindenwold,WJFL,0.4607,0.4421,0.4545
Columbia,3,6,9,0.3333,85,267,-20.222,maplewood-columbia,SFC,0.3915,0.4714,0.4181
Haddon Township,2,8,10,0.2,128,332,-20.4,westmont-haddon-township,WJFL,0.4107,0.4412,0.4209
Manchester Township,1,9,10,0.1,82,295,-21.3,manchester-manchester-township,Shore,0.4918,0.4594,0.481
Clifton,0,9,9,0.0,82,275,-21.444,clifton-clifton,SFC,0.4833,0.4573,0.4746
Middlesex,2,8,10,0.2,124,340,-21.6,middlesex-middlesex,Big Central,0.5277,0.4107,0.4887
Lodi,1,9,10,0.1,80,300,-22.0,lodi-lodi,NJIC,0.3997,0.4358,0.4118
Florence,1,8,9,0.1111,75,273,-22.0,florence-florence,WJFL,0.5224,0.5001,0.515
Sussex Tech,2,7,9,0.2222,118,317,-22.111,sparta-sussex-tech,SFC,0.4808,0.4735,0.4784
Lenape,1,9,10,0.1,107,337,-23.0,medford-lenape,WJFL,0.571,0.501,0.5477
Newark Collegiate,1,7,8,0.125,62,252,-23.75,newark-newark-collegiate,SFC,0.4899,0.5178,0.4992
Deptford,2,7,9,0.2222,70,291,-24.556,deptford-deptford,WJFL,0.4948,0.4678,0.4858
Pemberton,1,9,10,0.1,122,370,-24.8,pemberton-pemberton,WJFL,0.4918,0.4871,0.4902
New Brunswick,1,9,10,0.1,72,325,-25.3,new-brunswick-new-brunswick,Big Central,0.39,0.4496,0.4099
Egg Harbor,1,9,10,0.1,86,342,-25.6,egg-harbor-twp-egg-harbor,WJFL,0.5552,0.4604,0.5236
Elmwood Park,2,8,10,0.2,69,326,-25.7,elmwood-park-elmwood-park,NJIC,0.4067,0.4429,0.4188
Long Branch,0,9,9,0.0,53,285,-25.778,long-branch-long-branch,Shore,0.5753,0.4758,0.5421
Perth Amboy,1,9,10,0.1,89,347,-25.8,perth-amboy-perth-amboy,Big Central,0.5008,0.4462,0.4826
South River,1,9,10,0.1,98,357,-25.9,south-river-south-river,Big Central,0.5411,0.4333,0.5052
Ferris,0,9,9,0.0,52,297,-27.222,jersey-city-ferris,SFC,0.4861,0.4108,0.461
Paramus,0,9,9,0.0,83,328,-27.222,paramus-paramus,SFC,0.6145,0.4986,0.5758
Penns Grove,0,9,9,0.0,33,289,-28.444,carneys-point-penns-grove,WJFL,0.5484,0.4801,0.5257
Palmyra,1,9,10,0.1,117,402,-28.5,palmyra-palmyra,WJFL,0.4859,0.4646,0.4788
North Arlington,0,8,8,0.0,60,290,-28.75,north-arlington-north-arlington,NJIC,0.4816,0.4668,0.4767
Parsippany,1,9,10,0.1,60,348,-28.8,parsippany-parsippany,SFC,0.4278,0.4564,0.4373
